Threshold,precision_0,recall_0,f-score_0,Precision,Recall,F1.Score,accuracy,MCC,Algorithm
0.57,0.955518048674554,0.989567899756401,0.972227666469166,0.908839876834506,0.689150989855215,0.78278489654928,0.950759062009743,0.765499602921455,CNN
0.58,0.955229458073119,0.989567899756401,0.972078042912391,0.908637073875892,0.687043238451689,0.781324964067209,0.950486417306581,0.764083724171783,CNN
0.59,0.955237656059846,0.989776450329915,0.972183620235439,0.910212968948562,0.687043238451689,0.78194508214705,0.950668070349269,0.764915789912414,CNN
0.6,0.954956871283681,0.989880834463527,0.972087216063896,0.910935447750912,0.684930562395351,0.780744159819545,0.950486252167451,0.763936848118101,CNN
0.61,0.954676012189574,0.989985109750284,0.97199097007331,0.911591006538251,0.682822810991825,0.779541570955131,0.950304516555198,0.762939137967811,CNN
0.62,0.954388470663349,0.990089493883895,0.971893519079951,0.91217233613588,0.680710134935487,0.778445905135364,0.950122863512509,0.761956647326732,CNN
0.63,0.954293365768244,0.990089493883895,0.971843880446077,0.912111730075274,0.680005909583374,0.777938377958656,0.9500319544216,0.761478432660674,CNN
0.64,0.954211506622365,0.990402428591021,0.971952537204387,0.914473805971823,0.679301684231262,0.778356891976055,0.950213524894724,0.762265680374182,CNN
0.65,0.953845295211936,0.990819747431759,0.971963318430536,0.917812014952823,0.676489707475623,0.777683388575741,0.950213690033853,0.762190765799279,CNN
0.66,0.953751232721209,0.990819747431759,0.971914034370898,0.917724295654578,0.67578548212351,0.777151530262796,0.950122863512509,0.761695124137347,CNN
0.67,0.953655280121187,0.990819747431759,0.971864298536832,0.91763612778295,0.675081256771398,0.77665923851516,0.950032036991165,0.761214672715893,CNN
0.68,0.953383676236088,0.991132790985739,0.971873239382901,0.920081248374129,0.672973505367872,0.776085718441417,0.9500319544216,0.761116035096088,CNN
0.69,0.953097398434481,0.991132790985739,0.971724381806047,0.919812135406838,0.670870678617158,0.774576549930412,0.949759474857567,0.759663530465441,CNN
0.7,0.952813648346694,0.991237066272496,0.971627371659382,0.920493064310895,0.668762927213631,0.773433715829599,0.949577739245314,0.758695883699312,CNN
0.71,0.952725616081138,0.991445725692865,0.97168268044086,0.922148888006797,0.668063626514331,0.773591288854235,0.949668648336223,0.759109643049762,CNN
0.72,0.952440001065828,0.991445725692865,0.971533869723866,0.92192268970723,0.665955875110805,0.772071129959775,0.949396086202626,0.757663861222323,CNN
0.73,0.952062908232592,0.991550000979622,0.971387566727538,0.922581796243267,0.663148823007978,0.770391055583165,0.949123524069028,0.756218885631411,CNN
0.74,0.951776857056683,0.991550000979622,0.971238650793892,0.922372984876379,0.66103614695164,0.768870668516737,0.948850879365866,0.754775338878974,CNN
0.75,0.951688157060286,0.991654385113233,0.971241922601017,0.92323312635815,0.660331921599527,0.768645758878016,0.948850796796301,0.754742246730123,CNN
0.76,0.951501822445418,0.99175866039999,0.971195270421561,0.923920234853958,0.658928395548114,0.767951782956838,0.948759887705392,0.754213714818028,CNN
0.77,0.951418643349606,0.992071595107116,0.971303461478088,0.926399984222537,0.658224170196001,0.768407790187299,0.948941623317645,0.755048025936113,CNN
0.78,0.951237310154735,0.992280254527485,0.97130957720397,0.927976269165456,0.656815719491776,0.768021214460124,0.94894170588721,0.75496326518608,CNN
0.79,0.95095643102202,0.992384529814242,0.971213484295274,0.928590465213543,0.65470796808825,0.76681091673377,0.948760052844521,0.753949814375236,CNN
0.8,0.950861515957045,0.992384529814242,0.971163946887246,0.928519758142836,0.654003742736137,0.766299960319381,0.948669226323177,0.753467352954717,CNN
0.81,0.950865428602096,0.992488805100999,0.971216683142496,0.929299368337738,0.654003742736137,0.766613657420699,0.948760052844521,0.75388254701723,CNN
0.82,0.950394327733732,0.992593080387756,0.971021410128128,0.929800533838904,0.650482615975574,0.7643685775191,0.94839649905045,0.751902689540605,CNN
0.83,0.950111977568488,0.992593080387756,0.970873344344691,0.929604000992729,0.648369939919236,0.762776951358713,0.948123936916852,0.750435418691761,CNN
0.84,0.949831094547021,0.992697464521367,0.970776666524852,0.930448025956783,0.64626218851571,0.761595105552849,0.947942283874164,0.74949984125879,CNN
0.85,0.949556936150362,0.992906123941737,0.970733057272894,0.932157322685762,0.644159361764996,0.76068653050295,0.94785145735282,0.748991384993988,CNN
0.86,0.949200863901409,0.993323225088764,0.970746369051851,0.935375055770759,0.641362158967793,0.759801929214237,0.94785145735282,0.748805369362896,CNN
0.87,0.949023742010756,0.993531993355988,0.970752362993757,0.937388530287541,0.639953708263567,0.759375380537533,0.94785145735282,0.748830752327277,CNN
0.88,0.948661789320803,0.993740543929502,0.970660805451112,0.939097911118706,0.637136806855117,0.757782409957452,0.947669474031872,0.747785235095024,CNN
0.89,0.948212784853146,0.994157862770239,0.970624593014344,0.942497565077158,0.633615680094553,0.756342084025997,0.947578399801833,0.747162655297841,CNN
0.9,0.947092518856813,0.994470688630511,0.970188170292717,0.944586233508822,0.625179749827637,0.751058041562675,0.946760630831476,0.742756473222997,CNN
0.91,0.946630812521925,0.994575072764122,0.969994185422989,0.945522243714351,0.621658623067074,0.748661018917216,0.946397242176534,0.740840292448773,CNN
0.92,0.945913162624669,0.995096775738471,0.969863207498094,0.950254395398741,0.616029744902984,0.745792029205295,0.946124432334242,0.739316389632932,CNN
0.93,0.945259447685124,0.995201051025228,0.969569965120687,0.950844458261157,0.611105092091008,0.74240550898125,0.945579390636611,0.736392330873352,CNN
0.94,0.944903294596187,0.995513985732354,0.969530025875683,0.953999960729075,0.608288190682557,0.741166560890846,0.945488481545702,0.735967963591334,CNN
0.95,0.942954343166359,0.995827029286335,0.96865245842403,0.956219813037576,0.593533930857875,0.730766014519974,0.943853273883247,0.727226640292483,CNN
0.96,0.941302673957362,0.996139963993461,0.967925839061525,0.959128305508303,0.58086772382547,0.721611332851713,0.942490215506564,0.719935783832326,CNN
0.97,0.939750793396792,0.996557282834198,0.967301948299007,0.962713415556246,0.568930365409239,0.713268093759959,0.94130914045083,0.713496405732546,CNN
0.98,0.937770741746119,0.997391920515673,0.966644299340024,0.971049619295578,0.553442332315572,0.703058479304203,0.940036826025927,0.706617744569853,CNN
0.99,0.932958810751756,0.997913514643167,0.96432461282896,0.974981209708477,0.51616763518172,0.672779678851503,0.935675831888366,0.682133807212067,CNN
